Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A9012,AGUJA TEJER N.12,A9012                    ,3735.71,1
A0314,AGUJA TEJER N.14 A DOS,                         ,4237.33,1
A0316,AGUJA TEJER N.16,A0316                    ,5092.89,1
A0318,AGUJA TEJER N.18,A0318                    ,6086.09,1
A0200,AGUJA TEJER N.2 A DOS,A0200                    ,954.89,1
A0212,AGUJA TEJER N.2-1/2 A DOS,A0212                    ,1167.19,1
A0300,AGUJA TEJER N.3 A DOS,A0300                    ,1307.63,1
A0312,AGUJA TEJER N.3-1/2 A DOS,A0312                    ,1434.49,1
A0400,AGUJA TEJER N.4 A DOS,A0400                    ,1442.95,1
A0412,AGUJA TEJER N.4-1/2 A DOS,A0412                    ,1553.56,1
A0500,AGUJA TEJER N.5 A DOS,A0500                    ,1570.29,1
A0512,AGUJA TEJER N.5-1/2 A DOS,A0512                    ,1644.65,1
A0600,AGUJA TEJER N.6 A DOS,A0600                    ,1644.65,1
A0700,AGUJA TEJER N.7 A DOS,A0700                    ,1989.6,1
A0800,AGUJA TEJER N.8 A DOS,A0800                    ,2180.41,1
A0211S,ALFILER 211 X48UNI.,,562.83,1
A6300,ALFILER BOLITA SENALADOR SIFAP,                         ,1357.62,1
A1885,Alfiler C/Cabeza x50Gr SIFAP,7792533001885            ,376.05,1
A0211,ALFILER CABECITA 24X48,A0211                    ,11758.3,1
A0124,ALFILER CABECITA EMPERATRIZ X50GR,A0124                    ,2545.49,1
A0113,ALFILER CABECITA EMPERATRIZ X95 GR.,A0113                    ,7915.35,1
A0025,ALFILER CABECITA HIRSCH ACERO TEMPL,                         ,4856.57,1
A6100,ALFILER CABECITA X25 GR. SIFAP,                         ,620.36,1
A0193,ALFILER CABECITA X85 GR. S.A.E.T.A.,                         ,7380.54,1
A3000,ALFILER CABECITA X85 GR. SIFAP,                         ,1115.65,1
AB,Alfiler Cabeza BLANCO x40unid,AB                       ,390.38,1
A6423,ALFILER CABEZA COLOR X40UNID,A6423                    ,523.53,1
A642312,ALFILER CABEZA COLOR X40UNID X12RUEDAS,9555022836423            ,3961.66,1
A4280,ALFILER CABEZA X12BLI. C/12UNID. FORMA DE CORAZON,6922900334280            ,2690.16,1
A4242,ALFILER CABEZA X12BLI. C/12UNID. FORMA DE ESTRELLA,6922900334242            ,2690.16,1
A4235,ALFILER CABEZA X12BLI. C/12UNID. FORMA DE HOJA,6922900334235            ,2690.16,1
A4280S,ALFILER CABEZA X12UNID. FORMA DE CORAZON,A4280S                   ,230.48,1
A4242S,ALFILER CABEZA X12UNID. FORMA DE ESTRELLA,A4242S                   ,230.48,1
A4235S,ALFILER CABEZA X12UNID. FORMA DE HOJA,A4235S                   ,230.48,1
A5210,ALFILER EZCO CABEZA MULTICOLOR RUEDA X40UNID. PACK X12 RUEDAS,6952668735210,6446.56,1
A5217,ALFILER EZCO CABEZA MULTICOLOR RUEDA X40UNID. PACK X12 RUEDAS CAJA X3 PACK,16952668735217,18951.6,1
A0360,ALFILER GANCHO 36.0 x144Un.x23mm,A0360                    ,6248.34,1
A0360S,ALFILER GANCHO 36.0 X1UN.X23MM DORADO,A0360S                   ,104.83,1
A0041,ALFILER GANCHO CHICO X12UNID NIQUELADO,A0041                    ,145.2,1
A0036,ALFILER GANCHO ESTILETO X12UN.,,2091.61,1
A0042,ALFILER GANCHO MEDIANO X12UNID NIQUELADO,A0042,248.05,1
A3630S,ALFILER GANCHO MINI X1 UND. DORADO O NIQUELADO,A3630S                   ,104.83,1
A3630,ALFILER GANCHO MINI X1728 UND. DORADO O NIQUELADO,A3630                    ,12132.3,1
A0315,ALFILER GANCHO NINON GRANDE,A0315                    ,1860.99,1
A0319,ALFILER GANCHO NINON X12 SURT.,A0319                    ,994.12,1
A15,ALFILER GANCHO X15MM P/DISTINTIVOS X100UNID,A15                      ,14000.1,1
A15S,ALFILER GANCHO X15MM P/DISTINTIVOS X1UNID,A15S                     ,160.59,1
A20,ALFILER GANCHO X20MM P/DISTINTIVOS X100UNID,A20                      ,15212,1
A20S,ALFILER GANCHO X20MM P/DISTINTIVOS X1UNID,A20S                     ,160.59,1
A30,ALFILER GANCHO X30MM P/DISTINTIVOS X100UNID.,A30                      ,18412.5,1
A30S,ALFILER GANCHO X30MM P/DISTINTIVOS X1UNID.,A30S                     ,212.16,1
